ID,Name,Price,Mark,Model,Diagonal,Processor,The amount of RAM,Videocard,The amount of internal memory
f125,Lenovo V310-15ISK (i3-6006U/4GB/128GB/FHD/No Intel Core i3 6006U 2GHz,199256.37,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,128GB SSD
f126,Asus ROG Strix Intel Core i7 7700HQ 2.8GHz,817272.10,Asus,ROG Strix,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
f127,Lenovo IdeaPad 720S-14IKB Intel Core i5 7200U 2.5GHz,542708.18,Lenovo,IdeaPad 720S-14IKB,"14.0""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,256GB SSD
f128,Asus Zenbook Flip Intel Core i7 7500U 2.7GHz,863641.80,Asus,Zenbook Flip,"13.3""",Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,512GB SSD
f129,Lenovo Thinkpad X1 Intel Core i7 7500U 2.7GHz,1126897.24,Lenovo,Thinkpad X1,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,512GB SSD
f130,Lenovo Ideapad 510S-13IKB Intel Core i3 7100U 2.4GHz,271107.18,Lenovo,Ideapad 510S-13IKB,"13.3""",Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,128GB SSD
f131,Dell Precision 3510 Intel Core i5 6440HQ 2.6GHz,676039.58,Dell,Precision 3510,"15.6""",Intel Core i5 6440HQ 2.6GHz,8GB,AMD FirePro W5130M,500GB HDD
f132,Dell Precision 5520 Intel Core i7 6820HQ 2.7GHz,1054305.70,Dell,Precision 5520,"15.6""",Intel Core i7 6820HQ 2.7GHz,8GB,Nvidia Quadro M1200,256GB SSD
f133,Lenovo ThinkPad X1 Intel Core i7 7500U 2.7GHz,1238994.38,Lenovo,ThinkPad X1,"14.0""",Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,512GB SSD
f134,Asus Rog GL753VD-GC042T Intel Core i7 7700HQ 2.8GHz,513078.98,Asus,Rog GL753VD-GC042T,"17.3""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,1TB HDD
f135,Asus Rog GL753VE-GC070T Intel Core i7 7700HQ 2.8GHz,785667.62,Asus,Rog GL753VE-GC070T,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
f136,Acer Aspire 5 Intel Core i5 8250U 1.6GHz,342706.14,Acer,Aspire 5,"15.6""",Intel Core i5 8250U 1.6GHz,12GB,Nvidia GeForce MX130,1TB HDD
f137,MSI Leopard GP72M Intel Core i7 7700HQ 2.8GHz,666163.18,MSI,Leopard GP72M,"17.3""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,256GB SSD
f138,Dell Inspiron 5567 Intel Core i7 7500U 2.7GHz,384621.58,Dell,Inspiron 5567,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R7 M445,256GB SSD
f139,HP 15-BW004nv (A9-9420/4GB/256GB/Radeon AMD A9-Series 9420 3GHz,246416.18,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon 520,256GB SSD
f140,Lenovo ThinkPad E580 Intel Core i7 8550U 1.8GHz,607181.32,Lenovo,ThinkPad E580,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon RX 550,256GB SSD
f141,Lenovo ThinkPad L470 Intel Core i5 7200U 2.5GHz,463203.16,Lenovo,ThinkPad L470,"14.0""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f142,Dell Precision M5520 Intel Core i7 7700HQ 2.8GHz,1339239.84,Dell,Precision M5520,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,256GB SSD
f143,Lenovo Thinkpad X1 Intel Core i7 7500U 2.7GHz,1296277.50,Lenovo,Thinkpad X1,"14.0""",Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,1TB SSD
f144,Lenovo IdeaPad 320-15IAP Intel Celeron Dual Core N3350 1.1GHz,151108.92,Lenovo,IdeaPad 320-15IAP,"15.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,1TB HDD
f145,Asus FX753VD-GC461T (i7-7700HQ/16GB/1TB Intel Core i7 7700HQ 2.8GHz,755050.78,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,256GB SSD +  1TB HDD
f146,Lenovo ThinkPad E580 Intel Core i5 8250U 1.6GHz,565176.99,Lenovo,ThinkPad E580,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon RX 550,256GB SSD +  1TB HDD
f147,Acer Aspire 7 Intel Core i7 7700HQ 2.8GHz,434067.78,Acer,Aspire 7,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,256GB SSD
f148,MSI GE73VR 7RF Intel Core i7 7700HQ 2.8GHz,1110601.18,MSI,GE73VR 7RF,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
f149,Asus Zenbook 3 Intel Core i7 7500U 2.7GHz,924924.86,Asus,Zenbook 3,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,512GB SSD
f150,Toshiba Portege Z30-C-16P Intel Core i7 6500U 2.5GHz,862703.54,Toshiba,Portege Z30-C-16P,"13.3""",Intel Core i7 6500U 2.5GHz,16GB,Intel HD Graphics 520,512GB SSD
f151,Dell Latitude 7480 Intel Core i7 7600U 2.8GHz,829617.60,Dell,Latitude 7480,"14.0""",Intel Core i7 7600U 2.8GHz,8GB,Intel HD Graphics,512GB SSD
f152,Lenovo IdeaPad 320-15ISK Intel Core i3 6006U 2GHz,201972.38,Lenovo,IdeaPad 320-15ISK,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,500GB HDD
f153,Lenovo Lenovo IdeaPad Intel Celeron Dual Core N3350 1.1GHz,150343.50,Lenovo,Lenovo IdeaPad,"11.6""",Intel Celeron Dual Core N3350 1.1GHz,2GB,Intel HD Graphics 500,32GB Flash Storage
f154,Lenovo ThinkPad P51 Intel Core i7 7700HQ 2.8GHz,950603.50,Lenovo,ThinkPad P51,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,512GB SSD
f155,Lenovo Thinkpad T470p Intel Core i7 7700HQ 2.8GHz,959492.26,Lenovo,Thinkpad T470p,"14.0""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GT 940MX,512GB SSD
f156,HP 15-BS028nv (i3-6006U/4GB/1TB/Radeon Intel Core i3 6006U 2GHz,231601.58,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,"15.6""",Intel Core i3 6006U 2GHz,4GB,AMD Radeon 520,1TB HDD
f157,Acer Aspire R7 Intel Core i7 6500U 2.5GHz,389628.92,Acer,Aspire R7,"13.3""",Intel Core i7 6500U 2.5GHz,8GB,Intel HD Graphics 520,256GB SSD
f158,Asus ZenBook Flip Intel Core i5 7200U 2.5GHz,458264.96,Asus,ZenBook Flip,"13.3""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f159,Dell Inspiron 3567 Intel Core i5 7200U 2.5GHz,295748.80,Dell,Inspiron 3567,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,AMD Radeon R5 M430,256GB SSD
f160,Dell Latitude 3380 Intel Core i3 6006U 2GHz,340241.98,Dell,Latitude 3380,"13.3""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,128GB SSD
f161,HP EliteBook 1040 Intel Core i7 6500U 2.5GHz,740730.00,HP,EliteBook 1040,"14.0""",Intel Core i7 6500U 2.5GHz,8GB,Intel HD Graphics 520,256GB SSD
f162,Dell Inspiron 3567 Intel Core i5 7200U 2.5GHz,266638.11,Dell,Inspiron 3567,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,1TB HDD
f163,Lenovo ThinkPad E480 Intel Core i7 8550U 1.8GHz,600178.95,Lenovo,ThinkPad E480,"14.0""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon RX 550,256GB SSD
f164,Lenovo Yoga 720-15IKB Intel Core i7 7700HQ 2.8GHz,937764.18,Lenovo,Yoga 720-15IKB,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,512GB SSD
f165,Chuwi LapBook 12.3 Intel Celeron Quad Core N3450 1.1GHz,221725.18,Chuwi,LapBook 12.3,"12.3""",Intel Celeron Quad Core N3450 1.1GHz,6GB,Intel HD Graphics 500,64GB Flash Storage
